Names	label_ar	label_nr	label_cdk2	label_st_kinase	label_pkinase	label_tryps	label_tlf	label_sp
121p	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
13pk	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
16pk	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
18gs	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a08	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1a0i	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a1b	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1a1c	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1a1e	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1a28	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a2c	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1a2n	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a30	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a46	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1a4h	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a4m	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a4q	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a4r	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a4w	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1a53	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a5g	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1a61	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1a69	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a78	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a7c	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a80	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a82	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a85	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a86	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1a8a	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
